# time  ID  size  hopcount  deliveryTime  fromHost  toHost  remainingTtl  isResponse  path
27041.8000 w650 593749 1 7859.8000 n124 n165 169 N n124->n165
27108.6000 w678 746346 1 7132.6000 n158 n73 181 N n158->n73
27198.6000 w541 727294 1 11256.6000 n187 n19 112 N n187->n19
27613.7000 w628 895378 1 9092.7000 n92 n95 148 N n92->n95
27665.3000 e93 815313 1 3.3000 p204 p201 299 N p204->p201
27739.7000 w445 624285 1 14622.7000 n103 n73 56 N n103->n73
27764.1000 w660 589967 1 8285.1000 n44 n34 161 N n44->n34
27814.7000 w886 600712 1 1719.7000 n146 n166 271 N n146->n166
27896.9000 w942 588483 1 177.9000 n97 n168 297 N n97->n168
27977.6000 w773 797029 1 5177.6000 n36 n146 213 N n36->n146
28021.1000 w677 754852 1 8072.1000 n179 n152 165 N n179->n152
28148.4000 w912 504572 1 1306.4000 n113 n22 278 N n113->n22
28161.1000 w656 622511 1 8805.1000 n156 n22 153 N n156->n22
28319.9000 w721 753236 1 7053.9000 n115 n196 182 N n115->n196
28360.9000 e92 551278 1 1029.9000 p203 p208 282 N p203->p208
28362.6000 w950 529221 1 411.6000 n97 n18 293 N n97->n18
28448.5000 w841 583233 1 3669.5000 n98 n91 238 N n98->n91
28488.8000 w577 678595 1 11491.8000 n97 n163 108 N n97->n163
28509.3000 e95 645118 1 274.3000 p206 p201 295 N p206->p201
28521.2000 e94 681006 1 577.2000 p207 p202 290 N p207->p202
28539.7000 w385 715855 1 17206.7000 n77 n23 13 N n77->n23
28596.2000 w929 537631 1 1259.2000 n136 n36 279 N n136->n36
28741.4000 w584 654391 1 11524.4000 n166 n197 107 N n166->n197
28777.3000 w702 925875 1 8067.3000 n93 n150 165 N n93->n150
28792.2000 w469 790184 1 14974.2000 n6 n97 50 N n6->n97
28874.4000 e91 980011 1 1832.4000 p205 p203 269 N p205->p203
29000.5000 w870 599088 1 3374.5000 n190 n71 243 N n190->n71
29101.3000 e89 825518 1 2641.3000 p205 p204 255 N p205->p204
29421.0000 e96 613606 1 891.0000 p204 p202 285 N p204->p202
29455.1000 w672 678794 1 9638.1000 n110 n34 139 N n110->n34
29473.1000 w483 856329 1 15250.1000 n174 n136 45 N n174->n136
29512.6000 w744 703463 1 7572.6000 n178 n147 173 N n178->n147
29536.3000 w890 697158 1 3327.3000 n100 n59 244 N n100->n59
29725.0000 w505 782613 1 14852.0000 n39 n110 52 N n39->n110
